Alcohol,Calories,brand
5.66,59,Anchor Porter Anchor (USA)
4.63,43,Anchor Steam Beer Anchor (USA)
5.21,41,Asahi Draft Beer Asahi (Japan)
6.01,47,Ballantine Prlvate Stock Malt Liquor Narragansett (USA)
6.17,53,Ballantine Indla Pale Ale Falstaff (USA)
4.82,43,Ballantine Premium Lager Beer Falstaff (USA)
5.08,46,Ballantine XXX Ale Falstaff (USA)
5.51,45,Bass & Co's Bale Ale Bass (England)
4.95,41,Beamish Irish Cream Stout Beamish - Crawford (Ireland)
5.13,42,Beck's Beer Brauerei Beck (Germany)
4.66,39,Big Barrel Australian Lager Cooper & Sons (Australia)
4.74,45,Black Horse Premium Draft Beer Black Horse (USA)
4.86,43,Blatz Beer G. Heileman (USA)
4.48,38,Blatz Milwaukee 1851 Beer Blatz (USA)
6.07,53,Boulder Porter Boulder (USA)
4.82,40,Budwelser King of Beers Anheuser Busch (USA)
5.19,43,Busch Beer Anheuser Busch (USA)
4.38,39,Carling Black Label Canadian Style Beer G. Heileman (USA)
4.02,36,Cerveza Carta Blanca Cerveceria Cauhtemoc (Mexlco)
4.49,41,Cerveza Tecate Beer Cervecerla Cauhtemoc (Mexico)
5.43,44,Chester Golden A]e Greenall Whitley (England)
6.11,49,Colt 45 Malt Liquor G. Heileman (USA)
5.03,41,Coors Banquet Beer Adolph Coors (USA)
4.84,45,Corona Extra Beer Cereveria Modela SA (Mexico)
4.79,42,Dos Equis XX Imported Beer Cauhtemoc (Mexico)
4.96,44,Dos Equis XX Special Lager Cerveceria Montezuma (Mexico)
6.79,62,Dragon Stout Desnoes - Goeddes (Jamaica)
5.25,42,Foster's Lager Garlton & United (Australia)
4.43,39,Furstenberg German Beer Fustlich Ferstenbergische
4.98,44,Genesee 12 Horse Ale Genesee (USA)
5.03,43,Genesee Beer Genesee (USA)
4.7,42,Genesee Cream Ale Genesee (USA)
5.79,50,George Killian's Irish Red Ale Adolph Coors (USA)
5.54,49,George Killian's Irish Red Brand Beer Adolph Coors (USA)
4.63,45,Great Wall Imported Chinese Beer Green Bamboo (China)
5,40,Greenall's Cheshire English Pub Beer Grecnall Whitley PLC (England)
5.4,43,Grizzly Canadian Lager Hamilton (Canada)
5.17,44,Grolsch Lager Beer Grolsch Bierbrouweri (Holland)
4.27,43,Guinness Extra Stout Gulnness (Ireland)
6.87,50,Harfenrefrer Private Stock Malt Llquor Narragansett (USA)
4.53,40,Hamm's Beer Pabst (USA)
4.55,40,Harp (mported Lager Beer Harp (Ireland)
5.41,45,Heineken Lager Beer Heineken (Holland)
5.17,48,Heineken Special Dark Beer Heineken (Holland)
5.28,45,Hofenperle Special Feldschlosschen Bier (Switzerland)
5.88,49,Kaiserdom Rauchbier-Smoked Bavarlan Dark Beer
6.85,53,Kirin Beer Kirin (Japan)
4.16,38,Knickerbocker Natural Beer Ruppert (USA)
5.11,43,Kronenbourg Beer Kronenbourg (France)
5.08,46,Kronenbourg Imported Dark Beer Kronenbourg (France)
5.38,45,Kuppers Kolsch Kuppers (Germany)
2.29,26,LA Anheuser Busch Premlum Pilsner Beer Anheuser Busch (USA)
5.34,43,Labatt's 50 Canadian Ale
6.12,53,Liberty Ale Anchor (USA)
5.57,44,Lord Chesterfield Ale D.G. Yuengling & Son (USA)
5,45,Lowenbrau Dark Special Beer Miller (USA)
5.12,45,Lowenbrau Special Beer Miller (USA)
9.5,83,McEwans Scotch Ale Scottish & Newcastle (Scotland)
4.99,45,Michelob Beer Anheuser Busch (USA)
4.76,45,Michelob Classic Dark Beer Anheuser Busch (USA)
4.93,45,Michelob Classic Dark Beer Anheuser Busch (USA)
5.7,45,Mickeys Fine Malt Liquor G. Heileman (USA)
4.8,43,Miller High Life Beer Miller (USA)
5.02,43,"Miller High Life Genuine Draft Beer, Miller (USA)"
5.19,43,Molson Canadian Beer Molson (Canada)
6.04,48,Molson Golden Beer Molson (Canada)
5.08,43,Moosehead Canadian Lager Beer Moosehead (Canada)
4.96,40,O'Keefe Canadian Beer O'Keefe (Canada)
6.13,48,Olde English Brand 800 Malt Liquor Pabst (USA)
4.51,41,Old Milwaukee Beer Stroh (USA)
4.78,41,Olympia Premium Lager Beer Pabst (USA)
5.01,43,Pabst Blue Ribbon Beer Pabst (USA)
4.23,39,Piels Premium Draft Style Beer Stroh (USA)
4.25,45,Pilsener Urquell Beer Pilsener Urquell Pilzen (Czechoslovakia)
5.04,43,Red Strlpe Lager Beer Desnoes & Geddes (Jamaica)
5.15,43,Red White & Blue Special Lager Beer G. Heileman (USA)
4.78,42,Rheingold Premium Beer Rheingold (USA)
4.64,40,Rolllng Rock Extra Pale Premium Beer Latrobe (USA)
4.51,34,Rolling Rock Premlum Beer Latrobe (USA)
4.88,48,Samuel Adams Boston Lager Boston Beer (USA)
4.66,40,Schaefer Beer Stroh (USA)
4.7,41,Schlitz Beer Stroh (USA)
6.29,52,Schlitz Malt Liquor Stroh (USA)
5.28,49,Sheaf Stout Carlton & United (Australia)
4.82,45,Sierra Nevada Pale Ale Sierra Nevada (USA
5.34,48,Sierra Nevada Porter Sierra Nevada (USA)
5.1,56,Sierra Nevada Stout Sierra Nevada (USA)
4.84,43,Signature Stroh Beer Stroh (USA)
4.13,37,Sol Cerveza Especial Cerveceria Montezuma (Mexico)
6.63,52,Spaten Munich Special Dark Beer Spaten-Brau (Germany)
5,39,St. Pauli Girl Beer St. Pauli (Germany)
5.02,45,St. Pauli Girl Dark Beer St. Pauli (Germany)
4.68,42,Stroh's Beer Stroh (USA)
4.64,39,Suntory Draft Beer Suntory (Japan)
4.34,43,Superior Imported Beer Cerveceria Moctezuma (Mexico)
4.27,36,Thos Cooper & Sons Adelaide Lager Cooper & Sons (Australia)
6.77,45,Thos Cooper & Sons Naturally Brewed Real Ale Cooper & Sons (Australia)
7.1,58,Thos Cooper & Sons Naturally Brewed Stout Cooper & Sons (Australla)
4.85,41,Tolly Origlnal Premium Ale Tollei-ache & Cobbold (England)
4.79,43,Tsingtao Beer Tsingtao (China)
5.11,46,Tuborg Deluxe Dark Export Quality Beer G. Heileman (USA)
5.02,44,Tuborg Export Quality Beer G. Heileman (USA)
5.24,42,Tusker Malt Lager Bia Ni Bora (Kenya)
4.82,27,Utica Club Pilsener Lager Beer West End (USA)
3.92,40,Watney's Red Barrel Beer Stag (England)
5.42,45,Wurzburger Hofbrau Pilsner Beer Wurtzburger Hofbrauag (Germany)
4.13,40,Yuengling Porter D.G. Yuengllng & Son (USA)
4.65,39,Yuengllng Premium Beer D.G. Yuengling & Son (USA)
3.96,28,Amstel Light Bier Amstel Brouwerij B.V. (Holland)
4.12,31,Anheuser Busch Natural Light Beer Anheuser Busch (USA)
3.88,33,Bud Light Beer Anheuser Busch (USA)
4.36,30,Coors Llght Beer Adolph Coors (USA)
3.39,28,Dribeck's Light Low Calorie Beer Brauerei Beck (Germany)
3.55,27,Genesee Light Beer Genesee (USA)
4.52,39,Michelob Light Beer Anheuser Busch (USA)
4.4,29,Miller Lite Pilsner Beer Mlller (USA)
2.41,23,Molson Light Beer Molson (Canada)
4.7,31,Nordik Wolf Light Imported Beer A.B. Pripps Bryggerier (Sweden)
3.82,32,Old Milwaukee Premium Light Beer Stroh (USA)
2.5,19,Pabst Extra Light Low Alcohol Beer Pabst (USA)
4.49,40,Piels Naturally Light Beer Stroh (USA)
4.32,27,Rheingold Extra Light Beer Rheingold (USA)
4.07,34,Schaeler Light Lager Beer Stroh (USA)
4.28,31,Schlitz Light Pilsner Beer Stroh (USA)
4.45,35,Stroh Light Beer Stroh (USA)
3.56,29,Watney's London Light Beer Watney Combe Reid (England)
5.44,43,Wurtzburger Hofbrau Pure Bavarian Light Beer Wurtzburger Hofbrau Ag (Germany)
